N = 20;

m = [
  [0 6 2 9 10 0 7 8 10 9 2 5 1 1 6 3 3 9 4 6],
  [4 0 8 3 5 10 1 4 2 4 9 8 4 9 10 1 3 5 9 2],
  [4 6 0 8 4 8 2 9 4 7 4 4 2 4 1 1 5 5 1 4],
  [1 9 4 0 1 8 5 7 8 0 0 1 8 3 3 5 4 9 10 0],
  [6 8 8 10 0 4 7 10 10 9 2 3 2 2 6 5 3 5 0 0],
  [8 0 0 8 3 0 0 3 4 4 4 7 10 1 3 4 1 8 2 4],
  [9 4 10 6 3 7 0 8 0 6 6 2 9 1 1 7 6 7 7 1],
  [3 6 1 4 4 10 0 0 8 6 6 10 4 3 9 3 2 9 8 2],
  [3 8 10 7 3 2 8 7 0 4 1 4 6 0 5 8 8 1 9 2],
  [2 5 2 7 10 8 7 0 4 0 6 5 0 6 3 1 10 3 8 8],
  [7 10 10 4 0 5 1 3 8 5 0 2 0 10 9 4 1 5 10 0],
  [5 8 4 6 10 1 0 6 2 1 7 0 1 4 8 10 6 9 4 3],
  [2 5 2 0 6 7 6 10 5 4 6 0 0 1 9 2 10 10 7 0],
  [0 1 7 8 4 8 9 8 10 4 8 9 10 0 0 0 1 5 5 7],
  [3 6 3 8 0 1 4 10 0 0 10 9 2 8 0 10 9 4 8 3],
  [7 6 4 3 7 7 5 1 10 7 7 4 3 9 10 0 0 2 6 8],
  [9 0 6 2 10 2 7 1 4 3 1 2 4 3 5 8 0 0 5 9],
  [3 4 0 8 1 0 7 10 2 5 2 0 10 10 8 9 4 0 3 5],
  [6 5 5 5 9 0 8 0 2 9 10 2 1 9 7 9 1 3 0 6],
  [4 5 10 8 0 7 2 10 10 10 0 5 4 10 1 6 3 2 8 0]
];
